sentence	label_name	Language	label_ID
সমকামী বিবাহের ইতিবাচক অর্থনৈতিক প্রভাব রয়েছে, যেমন B. পর্যটকদের কাছ থেকে আয় বৃদ্ধি এবং বিবাহের অনুমতি এবং বিবাহ সংক্রান্ত খরচ।	Economic	bn	1.0
সমকামী বিবাহের বিরোধীরা যুক্তি দেয় যে এটি নেতিবাচক অর্থনৈতিক পরিণতির দিকে নিয়ে যাবে, যেমন ঐতিহ্যগত পারিবারিক কাঠামোর দুর্বলতা এবং এর ফলে সামাজিক অস্থিতিশীলতা।	Economic	bn	1.0
সমকামী বিবাহকে বৈধ করা সমকামী দম্পতিদের বিষমকামী দম্পতিদের মতো একই সম্পদ এবং সুবিধা অ্যাক্সেস করতে সাহায্য করবে, যেমন বি. স্বাস্থ্যসেবা অধিকার এবং উত্তরাধিকার অধিকার৷	Capacity and Resources	bn	2.0
সমকামী বিবাহের কিছু বিরোধীরা যুক্তি দেয় যে এটি সরকারী সংস্থা এবং প্রতিষ্ঠানগুলির সমকামী বিবাহকে স্বীকৃতি ও স্বীকৃতি দেওয়ার ক্ষমতাকে দুর্বল করে দেবে।	Capacity and Resources	bn	2.0
সমকামী বিবাহের সমর্থকরা যুক্তি দেয় যে এটি একটি মৌলিক মানবাধিকার এবং সমকামী দম্পতিদের বিবাহের অধিকার অস্বীকার করা নৈতিকভাবে ভুল।	Morality	bn	3.0
সমকামী বিবাহের বিরোধীরা প্রায়শই তাদের যুক্তিগুলিকে ধর্মীয় বা নৈতিক ভিত্তিতে ভিত্তি করে, এই যুক্তিতে যে বিবাহ শুধুমাত্র একজন পুরুষ এবং একজন মহিলার মধ্যে হওয়া উচিত।	Morality	bn	3.0
সমকামী বিবাহকে বৈধ করাকে প্রায়শই ন্যায়বিচার এবং সমতার বিষয় হিসাবে দেখা হয়, কারণ এটি সমকামী দম্পতিদের বিষমকামী দম্পতিদের মতো একই আইনি স্বীকৃতি এবং সুবিধা দেয়।	Fairness and Equality	bn	4.0
সমকামী বিবাহের বিরোধীরা যুক্তি দেয় যে এটি সমতা নয় কারণ সমকামী দম্পতিদের নিবন্ধিত বা সাধারণ-লিঙ্গের অংশীদারিত্বে প্রবেশের অনুমতি দেওয়া হয়, যা তাদের বিবাহিত দম্পতিদের মতো একই আইনি অধিকার দেয়।	Fairness and Equality	bn	4.0
সমলিঙ্গের বিবাহের আইনগত অবস্থা এখতিয়ার অনুসারে পরিবর্তিত হয়। কিছু দেশ এবং রাজ্য এটিকে বৈধ করে যখন অন্যরা তা করে না। এটি রাজ্যের অধিকার এবং বিবাহকে সংজ্ঞায়িত করার ক্ষেত্রে ফেডারেল সরকারের ভূমিকার মতো বিষয় নিয়ে বিতর্কের জন্ম দিয়েছে।	Legality, Constitutionality, Jurisdiction	bn	5.0
সমকামী বিবাহের বিরোধীরা সাধারণত যুক্তি দেন যে এটিকে বৈধ করা বা না করার সিদ্ধান্ত নেওয়া রাজ্যগুলির উপর নির্ভর করে, যখন সমর্থকরা সাধারণত যুক্তি দেয় যে এটি ফেডারেল সাংবিধানিক অধিকারের বিষয়।	Legality, Constitutionality, Jurisdiction	bn	5.0
