sentence	label_name	Language	label_ID
స్వలింగ వివాహం పర్యాటకాన్ని పెంచడం మరియు వివాహ లైసెన్స్ ఫీజులు మరియు వివాహ సంబంధిత ఖర్చుల ద్వారా ఆదాయాన్ని పొందడం వంటి సానుకూల ఆర్థిక ప్రభావాలను కలిగి ఉంటుంది.	Economic	te	1.0
స్వలింగ వివాహం యొక్క వ్యతిరేకులు సాంప్రదాయ కుటుంబ నిర్మాణాన్ని బలహీనపరచడం మరియు సామాజిక అస్థిరతకు దారితీయడం వంటి ప్రతికూల ఆర్థిక పరిణామాలను కలిగిస్తుందని వాదించారు.	Economic	te	1.0
స్వలింగ వివాహాలను చట్టబద్ధం చేయడం ద్వారా స్వలింగ జంటలు ఆసుపత్రి సందర్శన హక్కులు మరియు వారసత్వ హక్కులు వంటి వ్యతిరేక లింగ జంటల వలె అదే వనరులు మరియు ప్రయోజనాలను పొందేలా చేయడంలో సహాయపడుతుంది.	Capacity and Resources	te	2.0
స్వలింగ వివాహాలను వ్యతిరేకించే కొందరు ప్రభుత్వ సంస్థలు మరియు స్వలింగ వివాహాలను గుర్తించే మరియు గుర్తించాల్సిన సంస్థల సామర్థ్యాన్ని ఇది దెబ్బతీస్తుందని వాదించారు.	Capacity and Resources	te	2.0
స్వలింగ వివాహానికి మద్దతుదారులు ఇది ప్రాథమిక మానవ హక్కుల విషయమని మరియు స్వలింగ జంటలకు వివాహం చేసుకునే హక్కును నిరాకరించడం నైతిక అన్యాయం అని వాదించారు.	Morality	te	3.0
స్వలింగ వివాహాన్ని వ్యతిరేకించే వారు తరచుగా తమ వాదనలను మతపరమైన లేదా నైతిక ప్రాతిపదికన ఆధారం చేసుకుంటారు, వివాహం కేవలం పురుషుడు మరియు స్త్రీ మధ్య మాత్రమే ఉండాలని వాదిస్తారు.	Morality	te	3.0
స్వలింగ వివాహాలను చట్టబద్ధం చేయడం అనేది తరచుగా న్యాయమైన మరియు సమానత్వానికి సంబంధించిన అంశంగా రూపొందించబడింది, ఎందుకంటే ఇది స్వలింగ జంటలకు వ్యతిరేక లింగ జంటలకు సమానమైన చట్టపరమైన గుర్తింపు మరియు ప్రయోజనాలను అందిస్తుంది.	Fairness and Equality	te	4.0
స్వలింగ వివాహం యొక్క వ్యతిరేకులు ఇది సమానత్వానికి సంబంధించిన విషయం కాదని వాదించారు, స్వలింగ జంటలు వివాహిత జంటలకు సమానమైన అనేక చట్టబద్ధమైన హక్కులను కల్పించే పౌర సంఘాలు లేదా గృహ భాగస్వామ్యాల్లోకి ప్రవేశించే అవకాశం ఉంది.	Fairness and Equality	te	4.0
స్వలింగ వివాహం యొక్క చట్టపరమైన స్థితి అధికార పరిధిని బట్టి మారుతుంది, కొన్ని దేశాలు మరియు రాష్ట్రాలు దీనిని చట్టబద్ధం చేస్తాయి, మరికొన్ని చట్టబద్ధం చేయవు. ఇది రాష్ట్రాల హక్కులు మరియు వివాహాన్ని నిర్వచించడంలో ఫెడరల్ ప్రభుత్వ పాత్ర వంటి సమస్యలపై చర్చలకు దారితీసింది.	Legality, Constitutionality, Jurisdiction	te	5.0
స్వలింగ వివాహం యొక్క వ్యతిరేకులు తరచుగా దానిని చట్టబద్ధం చేయాలా వద్దా అనేది వ్యక్తిగత రాష్ట్రాలకు వదిలివేయాలని వాదిస్తారు, అయితే మద్దతుదారులు తరచుగా ఇది సమాఖ్య రాజ్యాంగ హక్కులకు సంబంధించిన విషయమని వాదిస్తారు.	Legality, Constitutionality, Jurisdiction	te	5.0
స్వలింగ వివాహం యొక్క మద్దతుదారులు దానిని చట్టబద్ధం చేయడం అనేది ఎక్కువ సమానత్వం మరియు కలుపుకుపోవడానికి సానుకూల విధానపరమైన అడుగు అని వాదించారు.	Policy Prescription and Evaluation	te	6.0
స్వలింగ వివాహ వ్యతిరేకులు అది ప్రతికూల సామాజిక మరియు సాంస్కృతిక పరిణామాలను కలిగిస్తుందని మరియు స్వలింగ జంటలు ఎదుర్కొంటున్న సమస్యలకు ఇది ఆచరణీయమైన విధాన పరిష్కారం కాదని వాదించారు.	Policy Prescription and Evaluation	te	6.0
స్వలింగ వివాహాలను చట్టబద్ధం చేయడంలో స్వాభావిక నేర లేదా శిక్షాపరమైన చిక్కులు లేవు.	Crime and Punishment	te	7.0
ఏది ఏమైనప్పటికీ, స్వలింగ వివాహం యొక్క వ్యతిరేకులు తరచూ అది సాంప్రదాయ కుటుంబ విలువలు మరియు నైతిక ప్రమాణాల పతనానికి దారితీస్తుందని వాదిస్తారు, ఇది ప్రతికూల సామాజిక పరిణామాలను కలిగిస్తుందని వారు విశ్వసిస్తారు.	Crime and Punishment	te	7.0
స్వలింగ వివాహాన్ని చట్టబద్ధం చేయడం వల్ల ఎలాంటి స్వాభావిక భద్రత లేదా రక్షణ చిక్కులు ఉండవు.	Security and Defense	te	8.0
ఏది ఏమైనప్పటికీ, స్వలింగ వివాహం యొక్క కొంతమంది వ్యతిరేకులు ఇది సాంప్రదాయ కుటుంబ నిర్మాణాన్ని బలహీనపరుస్తుందని వాదించారు, బలమైన సామాజిక విలువలు మరియు దేశ రక్షణను నిర్వహించడానికి ఇది చాలా అవసరమని వారు విశ్వసిస్తున్నారు.	Security and Defense	te	8.0
స్వలింగ వివాహాన్ని చట్టబద్ధం చేయడం వల్ల సానుకూల ఆరోగ్యం మరియు భద్రతాపరమైన చిక్కులు ఉంటాయి, ఎందుకంటే ఇది స్వలింగ జంటలకు ఆరోగ్య బీమా మరియు ఆసుపత్రి సందర్శన హక్కులు వంటి ముఖ్యమైన చట్టపరమైన మరియు వైద్య ప్రయోజనాలకు ప్రాప్యతను అందిస్తుంది.	Health and Safety	te	9.0
స్వలింగ వివాహం యొక్క వ్యతిరేకులు లైంగికంగా సంక్రమించే అంటువ్యాధుల వ్యాప్తిని పెంచడం మరియు స్వలింగ సంబంధాలలో పాల్గొన్న వ్యక్తుల జీవితకాలం తగ్గడం వంటి ప్రతికూల ఆరోగ్య పరిణామాలకు దారితీస్తుందని వాదించారు.	Health and Safety	te	9.0
