sentence	label_name	Language	label_ID
Eşcinsel evliliğin B. turizm ve evlilik ruhsatlarından elde edilen gelirin artması ve düğünle ilgili harcamalar gibi olumlu ekonomik etkileri vardır.	Economic	tr	1.0
Eşcinsel evliliğin karşıtları, bunun B. geleneksel aile yapılarının zayıflaması ve bunun sonucunda sosyal istikrarsızlık gibi olumsuz ekonomik sonuçlara yol açacağını savunuyorlar.	Economic	tr	1.0
Eşcinsel evliliğin yasallaştırılması, eşcinsel çiftlerin B. hastaneye yatış hakları ve miras hakları gibi heteroseksüel çiftlerle aynı kaynaklara ve faydalara erişmesine yardımcı olacaktır.	Capacity and Resources	tr	2.0
Eşcinsel evliliğin bazı muhalifleri, bunun devlet kurumlarının ve kurumlarının eşcinsel evliliği tanıma ve tanıma yeteneğini zayıflatacağını iddia ediyor.	Capacity and Resources	tr	2.0
Eşcinsel evliliğin savunucuları, bunun temel bir insan hakkı olduğunu ve eşcinsel çiftlerin evlenme hakkını reddetmenin ahlaki açıdan yanlış olduğunu savunuyorlar.	Morality	tr	3.0
Eşcinsel evliliğin muhalifleri, evliliğin yalnızca bir erkek ve bir kadın arasında olması gerektiğini savunarak, argümanlarını genellikle dini veya ahlaki temellere dayandırırlar.	Morality	tr	3.0
Eşcinsel evliliğin yasallaştırılması, eşcinsel çiftlere heteroseksüel çiftlerle aynı yasal tanınma ve faydaları sağladığından, genellikle bir adalet ve eşitlik meselesi olarak kabul edilir.	Fairness and Equality	tr	4.0
Eşcinsel evliliğin muhalifleri, bunun eşitlik olmadığını, çünkü eşcinsel çiftlerin kayıtlı hemcins birlikteliklerine veya örf ve adet hukuku ilişkilerine girmelerine izin verildiğini ve bu da onlara evli çiftlerle aynı yasal hakların çoğunu verdiğini savunuyorlar.	Fairness and Equality	tr	4.0
Eşcinsel evliliğin yasal statüsü, yargı yetkisine göre değişir; bazı ülkeler ve eyaletler bunu yasallaştırırken diğerleri onaylamaz. Eyaletlerin hakları ve federal hükümetin evliliği tanımlamadaki rolü gibi konularda tartışmalara yol açtı.	Legality, Constitutionality, Jurisdiction	tr	5.0
Eşcinsel evliliğin karşıtları, genellikle bunu yasallaştırıp düzenlememeye karar vermenin eyaletlere bağlı olduğunu savunurken, destekçiler genellikle bunun bir federal anayasal hak meselesi olduğunu savunuyorlar.	Legality, Constitutionality, Jurisdiction	tr	5.0
Eşcinsel evliliğin destekçileri, eşcinsel evliliğin yasallaştırılmasını daha fazla eşitlik ve içermeye yönelik olumlu bir siyasi adım olarak görüyor.	Policy Prescription and Evaluation	tr	6.0
Eşcinsel evliliğin muhalifleri, bunun olumsuz sosyal ve kültürel sonuçları olduğunu ve eşcinsel çiftlerin karşılaştığı sorunlara uygulanabilir bir siyasi çözüm sunmadığını savunuyorlar.	Policy Prescription and Evaluation	tr	6.0
Eşcinsel evliliği yasallaştırmanın doğasında hiçbir cezai veya cezai sonuç yoktur.	Crime and Punishment	tr	7.0
Bununla birlikte, eşcinsel evliliğin muhalifleri, olumsuz sosyal sonuçları olacağını söyledikleri geleneksel aile değerlerini ve ahlaki standartları yok edeceğini sıklıkla tartışırlar.	Crime and Punishment	tr	7.0
Eşcinsel evliliğin yasallaştırılmasının özünde hiçbir güvenlik veya güvenlik etkisi yoktur.	Security and Defense	tr	8.0
Bununla birlikte, eşcinsel evliliğin bazı muhalifleri, güçlü sosyal değerler ve ulusal savunma için gerekli olduğunu söyledikleri geleneksel aile yapılarını baltaladığını iddia ediyor.	Security and Defense	tr	8.0
Eşcinsel evliliğin yasallaştırılması, aynı cinsten çiftlere sağlık sigortası ve hastane ziyareti hakları gibi önemli yasal ve tıbbi yardımlara erişim sağlayarak sağlık ve güvenlik üzerinde olumlu bir etki yarattı.	Health and Safety	tr	9.0
Eşcinsel evliliğin muhalifleri, bunun aşağıdakiler gibi olumsuz sağlık sonuçlarına yol açabileceğini savunuyor:	Health and Safety	tr	9.0
Eşcinsel evliliğin yasallaştırılması, eşcinsel çiftlerin yaşam kalitesi üzerinde olumlu bir etkiye sahip olacak ve onlara daha fazla yasal tanınma ve önemli fayda ve kaynaklara erişim sağlayacaktır.	Quality of Life	tr	10.0
Eşcinsel evliliğin karşıtları, genellikle bunun, bireyler ve aileler için yaşam kalitesini olumsuz yönde etkileyen geleneksel aile yapılarını ve değerlerini bozduğunu iddia eder.	Quality of Life	tr	10.0
Eşcinsel evlilik, LGBTQ+ haklarına ve kabulüne yönelik değişen kültürel tutumların bir yansıması olarak görülebilir.	Cultural Identity	tr	11.0
Eşcinsel evliliğin muhalifleri genellikle geleneksel kültürel değerlerin ve normların korunmasını tartışırlar.	Cultural Identity	tr	11.0
Eşcinsel evliliğe ilişkin kamuoyu görüşü, eşcinsel ilişkilerin yasal olarak tanınmasına yönelik artan destekle birlikte son yıllarda önemli ölçüde değişti.	Public Sentiment	tr	12.0
Bununla birlikte, eşcinsel evliliğin bazı muhalifleri, kamuoyunun politika kararlarını etkilememesi gerektiğini ve evliliğin bir erkek ve bir kadın arasında tanımlanması gerektiğini savunuyorlar.	Public Sentiment	tr	12.0
Eşcinsel evlilik, farklı siyasi partilerin ve çıkar gruplarının bu konuda farklı pozisyonlar aldığı oldukça politik bir konudur.	Political	tr	13.0
Adaylar kendi platformları aracılığıyla yorum yaptıklarından, eşcinsel evliliğin yasallaştırılması seçimler sırasında sıklıkla siyasi bir mesele haline gelir.	Political	tr	13.0
Eşcinsel evliliğin yasal statüsü, özellikle insan hakları ve LGBTQ+ meseleleri konusundaki duruşuyla ilgili olarak bir ülkenin uluslararası duruşunu etkileyebilir.	External Regulation and Reputation	tr	14.0
Eşcinsel evliliğin bazı muhalifleri, bunun ülkenin imajına ve diğer ülkelerle ilişkilerine zarar verdiğini iddia ediyor.	External Regulation and Reputation	tr	14.0
Eşcinsel evlilik, evlat edinme ve çocuk velayeti, ayrımcılık ve nefret suçları ve sağlık eşitsizlikleri dahil olmak üzere diğer birçok sorunla iç içe geçmiş durumdadır.	Other	tr	15.0
Eşcinsel evlilik tartışması karmaşık ve çok yönlüdür ve genellikle farklı ilgi gruplarını ve bakış açılarını içerir.	Other	tr	15.0
Göçün ekonomi üzerinde hem olumlu hem de olumsuz etkileri vardır, istihdam ve tüketim yoluyla ekonomiye katkıda bulunurken aynı zamanda kamu kaynaklarını da tüketmektedir.	Economic	tr	1.0
Bazıları, özellikle emeğin kıt olduğu sektörlerde ekonomik büyüme için göçün gerekli olduğunu savunurken, diğerleri bunun yerli işçilerin işlerini kaybetmesine neden olduğunu savunuyor.	Economic	tr	1.0
Göç, özellikle göçmen nüfusunun yoğun olduğu bölgelerde sağlık, eğitim ve barınma gibi kamu kaynakları üzerinde baskı oluşturmaktadır.	Capacity and Resources	tr	2.0
Ancak bazıları, göçmenlerin topluma fayda sağlayan ve bu kaynakların büyümesine katkıda bulunan beceri ve yetenekler de getirdiğini iddia ediyor.	Capacity and Resources	tr	2.0
Göç etiği tartışmalı bir konudur, bazıları ihtiyacı olanlara koruma ve fırsat sağlamanın ahlaki bir zorunluluk olduğunu savunurken, diğerleri belgesiz göçmenlerin ülkede kalmasına izin vermenin ahlaka aykırı olduğuna inanır.	Morality	tr	3.0
Göçle ilgili tartışmalar genellikle adalet ve eşitlik meseleleri etrafında dönüyor; bazıları göçmenlerin ihtiyaçlarına yerli vatandaşlarınkinden daha fazla öncelik vermenin adaletsiz olduğunu savunurken, diğerleri göçmenlerin uyruğu ne olursa olsun eşit fırsatlara sahip olması gerektiğini savunuyor.	Fairness and Equality	tr	4.0
Göçmenlik yasallığı, farklı göçmenlik ve vize türlerini yöneten farklı yasa ve yönetmeliklerle karmaşık bir konudur.	Legality, Constitutionality, Jurisdiction	tr	5.0
Bazıları göç politikasının anayasaya aykırı veya adaletsiz olduğuna inanırken, diğerleri ulusal güvenliğin uygulanmasının ve korunmasının önemli olduğuna inanıyor.	Legality, Constitutionality, Jurisdiction	tr	5.0
Çeşitli göçmenlik politikalarının ve programlarının etkinliği, farklı paydaşların göçmenlik zorluklarına ve fırsatlarına farklı çözümler önermesiyle devam eden bir tartışmadır.	Policy Prescription and Evaluation	tr	6.0
Değerlendirme, göçmenlik politikalarının ve programlarının etkili ve adil olmasını sağlamak için önemlidir.	Policy Prescription and Evaluation	tr	6.0
