sentence	label_name	Language	label_ID
同性婚姻具有积极的经济影响，例如B. 增加旅游业和结婚证收入以及与婚礼相关的开支。	Economic	zh-CN	1.0
同性婚姻的反对者认为它会带来负面的经济后果，例如B.传统家庭结构的弱化和社会不稳定的结果。	Economic	zh-CN	1.0
同性婚姻合法化将帮助同性伴侣获得与异性伴侣相同的资源和福利，例如B. 住院权和继承权。	Capacity and Resources	zh-CN	2.0
一些同性婚姻的反对者认为，这会削弱政府机关和机构承认和承认同性婚姻的能力。	Capacity and Resources	zh-CN	2.0
同性婚姻的支持者认为这是基本人权，否认同性伴侣结婚的权利在道德上是错误的。	Morality	zh-CN	3.0
同性婚姻的反对者经常将他们的论点建立在宗教或道德的基础上，认为婚姻应该只存在于一男一女之间。	Morality	zh-CN	3.0
同性婚姻合法化通常被认为是公平和平等的问题，因为它赋予同性伴侣与异性伴侣相同的法律承认和利益。	Fairness and Equality	zh-CN	4.0
同性婚姻的反对者认为这不是平等，因为允许同性伴侣建立登记的民事伴侣关系或同居关系，这赋予他们许多与已婚夫妇相同的合法权利。	Fairness and Equality	zh-CN	4.0
同性婚姻的法律地位因司法管辖区而异，一些国家和州将其合法化，而另一些则没有。这引发了关于各州权利和联邦政府在定义婚姻中的作用等问题的辩论。	Legality, Constitutionality, Jurisdiction	zh-CN	5.0
同性婚姻的反对者经常争辩说，应该由各州来决定是否将其合法化，而支持者则经常争辩说这是联邦宪法权利的问题。	Legality, Constitutionality, Jurisdiction	zh-CN	5.0
同性婚姻的支持者认为，将同性婚姻合法化是朝着更大的平等和包容迈出的积极政治步骤。	Policy Prescription and Evaluation	zh-CN	6.0
同性婚姻的反对者认为，它具有负面的社会和文化后果，并且不能为同性伴侣面临的问题提供可行的政治解决方案。	Policy Prescription and Evaluation	zh-CN	6.0
同性婚姻合法化没有内在的刑事或刑事影响。	Crime and Punishment	zh-CN	7.0
然而，同性婚姻的反对者经常争辩说，这会导致传统家庭价值观和道德标准的崩溃，他们说这会产生负面的社会后果。	Crime and Punishment	zh-CN	7.0
同性婚姻的合法化没有内在的安全或安全影响。	Security and Defense	zh-CN	8.0
然而，一些同性婚姻的反对者认为它破坏了传统的家庭结构，他们说这对于维持强大的社会价值观和国防至关重要。	Security and Defense	zh-CN	8.0
同性婚姻合法化使同性伴侣获得重要的法律和医疗福利，如健康保险和医院探视权，从而对健康和安全产生积极影响。	Health and Safety	zh-CN	9.0
同性婚姻的反对者认为它会导致负面的健康结果，例如：	Health and Safety	zh-CN	9.0
同性婚姻合法化将对同性伴侣的生活质量产生积极影响，使他们获得更大的法律认可并获得重要的利益和资源。	Quality of Life	zh-CN	10.0
同性婚姻的反对者经常争辩说，它会破坏传统的家庭结构和价值观，从而对个人和家庭的生活质量产生负面影响。	Quality of Life	zh-CN	10.0
同性婚姻可以被视为对 LGBTQ+ 权利和接受度的文化态度转变的反映。	Cultural Identity	zh-CN	11.0
同性婚姻的反对者经常围绕保护传统文化价值观和规范展开争论。	Cultural Identity	zh-CN	11.0
近年来，同性婚姻的舆论发生了巨大变化，越来越多的人支持法律承认同性关系。	Public Sentiment	zh-CN	12.0
然而，一些同性婚姻的反对者认为，公众舆论不应左右政策决定，婚姻应被定义为一男一女之间的婚姻。	Public Sentiment	zh-CN	12.0
同性婚姻是一个高度政治化的问题，不同的政党和利益集团在这个问题上持有不同的立场。	Political	zh-CN	13.0
同性婚姻合法化在选举期间经常成为一个政治问题，候选人通过他们的平台发表评论。	Political	zh-CN	13.0
同性婚姻的法律地位会影响一个国家的国际地位，特别是与其在人权和 LGBTQ+ 问题上的立场有关。	External Regulation and Reputation	zh-CN	14.0
一些同性婚姻的反对者认为，这会损害一个国家的形象以及与其他国家的关系。	External Regulation and Reputation	zh-CN	14.0
同性婚姻与收养和儿童监护、歧视和仇恨犯罪以及健康不平等等许多其他问题交织在一起。	Other	zh-CN	15.0
关于同性婚姻的争论是复杂和多方面的，而且往往包含各种利益集团和观点。	Other	zh-CN	15.0
移民对经济既有积极影响也有消极影响，移民通过工作和消费为经济做出贡献，但也消耗公共资源。	Economic	zh-CN	1.0
一些人认为移民对于经济发展是必要的，特别是在劳动力稀缺的行业，而另一些人则认为这会导致本地出生的工人失业。	Economic	zh-CN	1.0
移民给医疗、教育和住房等公共资源带来压力，尤其是在移民人口较多的地区。	Capacity and Resources	zh-CN	2.0
然而，一些人认为，移民也带来了有益于社会并有助于这些资源增长的技能和才能。	Capacity and Resources	zh-CN	2.0
移民的道德是一个有争议的问题，一些人认为为有需要的人提供保护和机会是道德上的当务之急，而另一些人则认为允许无证移民留在该国是不道德的。	Morality	zh-CN	3.0
围绕移民的辩论通常围绕公平和平等问题展开，一些人认为将移民的需求优先于本土出生的公民是不公平的，而另一些人则认为移民无论国籍如何都应享有平等机会。	Fairness and Equality	zh-CN	4.0
移民合法性是一个复杂的问题，不同的法律和法规管理不同类型的移民和签证。	Legality, Constitutionality, Jurisdiction	zh-CN	5.0
一些人认为移民政策违宪或不公正，而另一些人则认为执法和保护国家安全很重要。	Legality, Constitutionality, Jurisdiction	zh-CN	5.0
