sentence	Language	label_name	label_ID	Annotator
An official familiar with a draft of the budget plan described details of the funding request on the condition of anonymity ahead of President Bidenâs release of the plan on Monday.	en	Capacity and Resources	2.0	G01381857
ICE continues to inspect individual detention centers to ensure appropriate conditions through the work of ERO, OPR, and in collaboration with other oversight bodies within DHS.	en	Capacity and Resources	2.0	G01381857
Together with the Federal Bureau of Investigation, HSI enabled the Department of Justice to obtain charges against two conspirators in that offense.	en	Capacity and Resources	2.0	G01381857
Detention Management coordinates with the 25 ERO field offices to ensure a safe and secure environment for noncitizens in ICE custody through facility compliance, on-site monitoring, and the acquisition of detention facilities.	en	Capacity and Resources	2.0	G01381857
Fugitive Operations facilitates logistical and operational support to 25 ERO field offices by developing, implementing, and overseeing plans and policies in support of the overall National Fugitive Operations Program mission.	en	Capacity and Resources	2.0	G01381857
These centers apply technical capabilities, analytical tools, and law enforcement expertise to generate intelligence-driven leads on noncitizens subject to removal.	en	Capacity and Resources	2.0	G01381857
Through data collection, analysis and technology and process improvements, LESA delivers tools, studies and recommendations that assist ICEâs decision-making and planning.	en	Capacity and Resources	2.0	G01381857
This unit develops and implements strategies to remove noncitizens from the United States who are subject to removal by collaborating within the agency and with interagency stakeholders, foreign embassies and consulates, and international partners.	en	Capacity and Resources	2.0	G01381857
We advocate for global human rights policies and protections for migrants and refugees, and press for multilateral measures to address the root causes of migration, including climate change.	en	Capacity and Resources	2.0	G01381857
The PA is a nonprofit organization who meets the State and program eligibility criteria and has administrative capacity to act on behalf of CDSS in managing designated programs and program funding.	en	Public Sentiment	12.0	G01381857
If you are in the United States without having been admitted to or paroled into the country by an immigration officer, then you started accruing unlawful presence on the day you entered the country without admission or parole.	en	Crime and Punishment	7.0	G01381857
In general, if you were admitted or paroled into the United States by an immigration officer, you were issued or received a Form Iâ94, Arrival/Departure Record, which shows a specific date when you are required to leave.	en	Crime and Punishment	7.0	G01381857
If you leave the United States after the commencement of removal proceedings, including voluntarily, it is your responsibility to inform the Executive Office for Immigration Review.	en	Economic	1.0	G01381857
The 10-year unlawful presence ground of inadmissibility applies whether you leave before, during, or after DHS initiated removal proceedings.	en	Security and Defense	8.0	G01381857
Although you are permanently inadmissible under this ground, you may ask for permission to reapply for admission to the United States, but only if you have been physically outside the United States for at least 10 years since the date of your last departure.	en	Crime and Punishment	7.0	G01381857
