sentence	label_name	Language	label_ID
Ο γάμος ομοφυλόφιλων έχει θετικές οικονομικές επιπτώσεις, όπως αυξημένα εισοδήματα από Β. τουριστικές άδειες και άδειες γάμου και έξοδα που σχετίζονται με γάμους.	Economic	el	1.0
Οι πολέμιοι του γάμου ομοφύλων υποστηρίζουν ότι θα οδηγήσει σε αρνητικές οικονομικές συνέπειες, όπως η αποδυνάμωση των παραδοσιακών οικογενειακών δομών και συνακόλουθη κοινωνική αστάθεια.	Economic	el	1.0
Η νομιμοποίηση του γάμου μεταξύ ατόμων του ίδιου φύλου θα βοηθούσε τα ομόφυλα ζευγάρια να έχουν πρόσβαση στους ίδιους πόρους και οφέλη με τα ετεροφυλόφιλα ζευγάρια, όπως τα δικαιώματα νοσηλείας B. και τα δικαιώματα κληρονομιάς.	Capacity and Resources	el	2.0
Ορισμένοι πολέμιοι του γάμου μεταξύ ατόμων του ιδίου φύλου υποστηρίζουν ότι θα αποδυναμώσει την ικανότητα των κρατικών υπηρεσιών και ιδρυμάτων να αναγνωρίζουν και να αναγνωρίζουν τους γάμους ομοφυλόφιλων.	Capacity and Resources	el	2.0
Οι υποστηρικτές του γάμου μεταξύ ατόμων του ίδιου φύλου υποστηρίζουν ότι είναι θεμελιώδες ανθρώπινο δικαίωμα και ότι είναι ηθικά λάθος να αρνούμαστε στα ομόφυλα ζευγάρια το δικαίωμα να παντρευτούν.	Morality	el	3.0
Οι πολέμιοι του γάμου ομοφύλων συχνά βασίζουν τα επιχειρήματά τους σε θρησκευτικούς ή ηθικούς λόγους, υποστηρίζοντας ότι ο γάμος πρέπει να γίνεται μόνο μεταξύ ενός άνδρα και μιας γυναίκας.	Morality	el	3.0
Η νομιμοποίηση του γάμου μεταξύ ατόμων του ίδιου φύλου θεωρείται συχνά ζήτημα δικαιοσύνης και ισότητας, καθώς παρέχει στα ομόφυλα ζευγάρια την ίδια νομική αναγνώριση και οφέλη με τα ετεροφυλόφιλα ζευγάρια.	Fairness and Equality	el	4.0
Οι πολέμιοι του γάμου μεταξύ ατόμων του ίδιου φύλου υποστηρίζουν ότι δεν είναι ισότητα, επειδή τα ομόφυλα ζευγάρια επιτρέπεται να συνάπτουν καταχωρημένες συντροφικές σχέσεις ή σχέσεις κοινού φύλου, κάτι που τους παρέχει πολλά από τα ίδια νομικά δικαιώματα με τα παντρεμένα ζευγάρια.	Fairness and Equality	el	4.0
Το νομικό καθεστώς του γάμου ομοφυλόφιλων διαφέρει ανάλογα με τη δικαιοδοσία. ορισμένες χώρες και κράτη το νομιμοποιούν ενώ άλλες όχι. Προκάλεσε διαμάχη για θέματα όπως τα δικαιώματα των πολιτειών και ο ρόλος της ομοσπονδιακής κυβέρνησης στον ορισμό του γάμου.	Legality, Constitutionality, Jurisdiction	el	5.0
Οι πολέμιοι του γάμου ομοφύλων γενικά υποστηρίζουν ότι εναπόκειται στις πολιτείες να αποφασίσουν αν θα τον νομιμοποιήσουν ή όχι, ενώ οι υποστηρικτές γενικά υποστηρίζουν ότι είναι θέμα ομοσπονδιακών συνταγματικών δικαιωμάτων.	Legality, Constitutionality, Jurisdiction	el	5.0
Οι υποστηρικτές του γάμου ομοφύλων βλέπουν τη νομιμοποίηση του γάμου ομοφύλων ως ένα θετικό πολιτικό βήμα προς μεγαλύτερη ισότητα και ένταξη.	Policy Prescription and Evaluation	el	6.0
