sentence	label_name	Language	label_ID
समान-सेक्स विवाह के सकारात्मक आर्थिक प्रभाव होते हैं, जैसे पर्यटन और विवाह लाइसेंस से राजस्व में वृद्धि, और विवाह से जुड़ी लागत।	Economic	hi	1.0
समान-सेक्स विवाह के विरोधियों का तर्क है कि इससे नकारात्मक आर्थिक परिणाम होंगे, जैसे पारंपरिक पारिवारिक ढांचे को कमजोर करना और सामाजिक अस्थिरता पैदा करना।	Economic	hi	1.0
समान-लिंग विवाह को वैध बनाने से समान-लिंग वाले जोड़ों को समान-लिंग वाले जोड़ों के समान संसाधन और लाभ प्राप्त करने में मदद मिलेगी, उदाहरण के लिए b। स्वास्थ्य अधिकार और विरासत अधिकार	Capacity and Resources	hi	2.0
समान-सेक्स विवाह के कुछ विरोधियों का तर्क है कि इससे सरकारी एजेंसियों और संस्थानों की समान-सेक्स विवाहों को पहचानने और पहचानने की क्षमता कमजोर हो जाएगी।	Capacity and Resources	hi	2.0
समान-लिंग विवाह के रक्षकों का तर्क है कि यह एक बुनियादी मानव अधिकार है और समान-लिंग वाले जोड़ों को विवाह करने के अधिकार से वंचित करना अनैतिक है।	Morality	hi	3.0
समान-सेक्स विवाह के विरोधी अक्सर अपने तर्कों को धार्मिक या नैतिक आधार पर आधारित करते हैं, यह कहते हुए कि विवाह केवल एक पुरुष और एक महिला के बीच होना चाहिए।	Morality	hi	3.0
समान-लिंग विवाह के वैधीकरण को अक्सर न्याय और समानता के मामले के रूप में देखा जाता है, समान-लिंग वाले जोड़ों को समान कानूनी मान्यता और लाभ विषमलैंगिक जोड़ों के रूप में देते हैं।	Fairness and Equality	hi	4.0
समान-लिंग विवाह के विरोधियों का तर्क है कि यह अनुचित है क्योंकि समान-लिंग वाले जोड़े एक पंजीकृत या समान-सेक्स साझेदारी में प्रवेश कर सकते हैं, जो उन्हें विवाहित जोड़ों के समान कानूनी अधिकार देता है।	Fairness and Equality	hi	4.0
समान-सेक्स विवाह की कानूनी स्थिति क्षेत्राधिकार से भिन्न होती है। कुछ देश और राज्य इसे वैध करते हैं, जबकि अन्य नहीं। इसने राज्यों के अधिकारों और विवाह को परिभाषित करने में संघीय सरकार की भूमिका जैसे मुद्दों पर बहस छेड़ दी।	Legality, Constitutionality, Jurisdiction	hi	5.0
समान-सेक्स विवाह के विरोधी आमतौर पर तर्क देते हैं कि राज्यों को यह तय करना चाहिए कि इसे वैध बनाना है या नहीं, जबकि समर्थक आमतौर पर तर्क देते हैं कि यह संघीय संवैधानिक अधिकारों का मामला है।	Legality, Constitutionality, Jurisdiction	hi	5.0
समान-लिंग विवाह के समर्थक समान-लिंग विवाह के वैधीकरण को अधिक समानता और समावेश की दिशा में एक सकारात्मक राजनीतिक कदम के रूप में देखते हैं।	Policy Prescription and Evaluation	hi	6.0
