sentence	label_name	Language	label_ID
समलिङ्गी विवाहले सकारात्मक आर्थिक प्रभाव पार्छ जस्तै B. पर्यटन र विवाह लाइसेन्स र विवाह सम्बन्धी खर्चहरूबाट बढेको राजस्व।	Economic	ne	1.0
समलिङ्गी विवाहको विपक्षीहरूले तर्क गर्छन् कि यसले नकारात्मक आर्थिक परिणामहरू ल्याउनेछ, जस्तै B. परम्परागत पारिवारिक संरचनाको कमजोरी र परिणाम स्वरूप सामाजिक अस्थिरता।	Economic	ne	1.0
समलिङ्गी विवाहलाई वैधानिकताले समलिङ्गी जोडीहरूलाई विषमलिङ्गी जोडीहरूले जस्तै स्रोत र फाइदाहरू पहुँच गर्न मद्दत गर्नेछ, जस्तै B. अस्पतालमा भर्ना अधिकार र उत्तराधिकार अधिकार।	Capacity and Resources	ne	2.0
समलिङ्गी विवाहका केही विरोधीहरूले तर्क गर्छन् कि यसले सरकारी एजेन्सीहरू र संस्थाहरूको समलिङ्गी विवाहलाई पहिचान र पहिचान गर्ने क्षमतालाई कमजोर बनाउनेछ।	Capacity and Resources	ne	2.0
समलिङ्गी विवाहका समर्थकहरूले यो आधारभूत मानव अधिकार हो र समलिङ्गी जोडीहरूलाई विवाह गर्ने अधिकार अस्वीकार गर्नु नैतिक रूपमा गलत हो भनी तर्क गर्छन्।	Morality	ne	3.0
समलिङ्गी विवाहका विपक्षीहरूले प्रायः आफ्नो तर्कहरू धार्मिक वा नैतिक आधारमा राख्छन्, विवाह पुरुष र महिलाबीच मात्र हुनुपर्छ भन्ने तर्क गर्छन्।	Morality	ne	3.0
समलिङ्गी विवाहलाई वैधानिकता दिनुलाई सामान्यतया निष्पक्षता र समानताको कुरा मानिन्छ, किनकि यसले समलिङ्गी जोडीहरूलाई विषमलिङ्गी जोडीहरू जस्तै कानुनी मान्यता र फाइदाहरू प्रदान गर्दछ।	Fairness and Equality	ne	4.0
समलिङ्गी विवाहका विपक्षीहरूले तर्क गर्छन् कि यो समानता होइन किनभने समान-लिङ्गी जोडीहरूलाई दर्ता गरिएको नागरिक साझेदारी, वा साझा-कानून सम्बन्धहरूमा प्रवेश गर्न अनुमति दिइन्छ, जसले उनीहरूलाई विवाहित जोडीहरू जस्तै धेरै कानुनी अधिकार दिन्छ।	Fairness and Equality	ne	4.0
समलिङ्गी विवाहको कानूनी स्थिति अधिकार क्षेत्र अनुसार फरक हुन्छ, केही देशहरू र राज्यहरूले यसलाई वैधानिकता दिन्छन् र अरूले गर्दैनन्। यसले राज्यको अधिकार र विवाहलाई परिभाषित गर्न संघीय सरकारको भूमिका जस्ता मुद्दाहरूमा बहस सुरु गरेको छ।	Legality, Constitutionality, Jurisdiction	ne	5.0
समलिङ्गी विवाहका विपक्षीहरूले प्रायः तर्क गर्छन् कि यसलाई वैधानिक बनाउने वा नगर्ने निर्णय गर्ने राज्यहरूमा निर्भर छ, जबकि समर्थकहरूले अक्सर तर्क गर्छन् कि यो संघीय संवैधानिक अधिकारको कुरा हो।	Legality, Constitutionality, Jurisdiction	ne	5.0
