sentence	label_name	Language	label_ID
Однополые браки имеют положительные экономические последствия, такие как увеличение доходов от туристов и разрешений на брак, а также расходов, связанных с браком.	Economic	ru	1.0
Противники однополых браков утверждают, что это приведет к негативным экономическим последствиям, таким как ослабление традиционных семейных структур и, как следствие, социальная нестабильность.	Economic	ru	1.0
Легализация однополых браков поможет однополым парам получить доступ к тем же ресурсам и преимуществам, что и гетеросексуальные пары, например b. Права на здоровье и права наследования	Capacity and Resources	ru	2.0
Некоторые противники однополых браков утверждают, что это ослабит способность государственных органов и учреждений признавать и признавать однополые браки.	Capacity and Resources	ru	2.0
Сторонники однополых браков утверждают, что это основное право человека и что отказ однополым парам в праве на брак является аморальным.	Morality	ru	3.0
Противники однополых браков часто основывают свои аргументы на религиозных или моральных соображениях, утверждая, что брак должен заключаться только между мужчиной и женщиной.	Morality	ru	3.0
Легализация однополых браков часто рассматривается как вопрос справедливости и равенства, дающий однополым парам такое же юридическое признание и преимущества, как и гетеросексуальным парам.	Fairness and Equality	ru	4.0
Противники однополых браков утверждают, что это не равенство, потому что однополые пары могут вступать в зарегистрированные или однополые партнерства, что дает им те же юридические права, что и супружеским парам.	Fairness and Equality	ru	4.0
Правовой статус однополых браков зависит от юрисдикции. Некоторые страны и штаты легализуют его, а другие нет. Это вызвало дебаты по таким вопросам, как права штатов и роль федерального правительства в определении брака.	Legality, Constitutionality, Jurisdiction	ru	5.0
Противники однополых браков обычно утверждают, что штаты должны решать, легализовать их или нет, в то время как сторонники обычно утверждают, что это вопрос федеральных конституционных прав.	Legality, Constitutionality, Jurisdiction	ru	5.0
Сторонники однополых браков рассматривают легализацию однополых браков как положительный политический шаг на пути к большему равенству и инклюзивности.	Policy Prescription and Evaluation	ru	6.0
Противники однополых браков утверждают, что они имеют негативные социальные и культурные последствия и не обеспечивают жизнеспособного политического решения проблем, с которыми сталкиваются однополые пары.	Policy Prescription and Evaluation	ru	6.0
Легализация однополых браков не имеет уголовных или уголовных последствий.	Crime and Punishment	ru	7.0
Однако противники однополых браков часто утверждают, что они разрушат традиционные семейные ценности и моральные устои, что, по их словам, будет иметь негативные социальные последствия.	Crime and Punishment	ru	7.0
Легализация однополых браков не имеет никаких последствий для безопасности.	Security and Defense	ru	8.0
Но некоторые противники однополых браков говорят, что они подрывают традиционные семейные структуры, которые, по их словам, необходимы для укрепления социальных ценностей и национальной обороны.	Security and Defense	ru	8.0
Легализация однополых браков оказала положительное влияние на здоровье и безопасность, предоставив однополым парам доступ к важным юридическим и медицинским льготам, таким как медицинское страхование и право на посещение больницы.	Health and Safety	ru	9.0
Противники однополых браков утверждают, что они могут иметь негативные последствия для здоровья, в том числе:	Health and Safety	ru	9.0
Легализация однополых браков окажет положительное влияние на качество жизни однополых пар, обеспечив более широкое юридическое признание и доступ к важным преимуществам и ресурсам.	Quality of Life	ru	10.0
Противники однополых браков часто утверждают, что они разрушают традиционные семейные структуры и ценности, негативно влияя на качество жизни отдельных людей и семей.	Quality of Life	ru	10.0
Однополые браки можно рассматривать как отражение изменения культурного отношения к правам и признанию ЛГБТК+.	Cultural Identity	ru	11.0
Противники однополых браков часто спорят о сохранении традиционных культурных ценностей и норм.	Cultural Identity	ru	11.0
Общественное мнение об однополых браках резко изменилось за последние годы, поскольку растет поддержка юридического признания однополых отношений.	Public Sentiment	ru	12.0
Однако некоторые противники однополых браков утверждают, что общественное мнение не должно влиять на политические решения и что брак должен определяться как брак между мужчиной и женщиной.	Public Sentiment	ru	12.0
Однополые браки - это очень политический вопрос, и разные политические партии и группы интересов занимают разные позиции по этому вопросу.	Political	ru	13.0
