sentence	label_name	Language	label_ID
Ndoa za watu wa jinsia moja zina athari chanya za kiuchumi, kama vile kuongezeka kwa mapato kutoka kwa watalii na leseni za ndoa, na gharama zinazohusiana na ndoa.	Economic	sw	1.0
Wapinzani wa ndoa za watu wa jinsia moja wanahoji kuwa itasababisha matokeo mabaya ya kiuchumi, kama vile kudhoofisha miundo ya familia ya kitamaduni na kusababisha ukosefu wa utulivu wa kijamii.	Economic	sw	1.0
Kuhalalisha ndoa za jinsia moja kutasaidia wapenzi wa jinsia moja kupata rasilimali na manufaa sawa na wapenzi wa jinsia moja, kwa mfano b. Haki za afya na haki za urithi	Capacity and Resources	sw	2.0
Baadhi ya wanaopinga ndoa za jinsia moja wanahoji kuwa jambo hilo litadhoofisha uwezo wa mashirika na taasisi za serikali kutambua na kutambua ndoa za jinsia moja.	Capacity and Resources	sw	2.0
Watetezi wa ndoa za jinsia moja wanahoji kuwa ni haki ya msingi ya binadamu na kuwanyima wapenzi wa jinsia moja haki ya kuoana ni kinyume cha maadili.	Morality	sw	3.0
Wapinzani wa ndoa za jinsia moja mara nyingi hujenga hoja zao katika misingi ya kidini au kimaadili, wakisema kwamba ndoa inapaswa kuwa kati ya mwanamume na mwanamke pekee.	Morality	sw	3.0
Uhalalishaji wa ndoa za watu wa jinsia moja mara nyingi huonekana kama suala la haki na usawa, na kuwapa wapenzi wa jinsia moja utambuzi wa kisheria na manufaa sawa na wapenzi wa jinsia tofauti.	Fairness and Equality	sw	4.0
Wapinzani wa ndoa za jinsia moja wanahoji kuwa huu si usawa kwa sababu wapenzi wa jinsia moja wanaweza kuingia katika ubia uliosajiliwa au wa jinsia moja, jambo ambalo linawapa haki za kisheria sawa na wanandoa.	Fairness and Equality	sw	4.0
Hali ya kisheria ya ndoa ya jinsia moja inatofautiana kulingana na mamlaka. Baadhi ya nchi na majimbo yanaihalalisha, wakati zingine haziihalalishi. Hili lilizua mjadala kuhusu masuala kama vile haki za majimbo na jukumu la serikali ya shirikisho katika kufafanua ndoa.	Legality, Constitutionality, Jurisdiction	sw	5.0
Wapinzani wa ndoa za watu wa jinsia moja kwa kawaida huhoji kuwa mataifa yanafaa kuamua kuihalalisha au kutoihalalisha, huku wanaoiunga mkono kwa kawaida wakisema kuwa ni suala la haki za kikatiba za shirikisho.	Legality, Constitutionality, Jurisdiction	sw	5.0
